source_id,domain,seed_url,best_strategy,status,has_rss,has_sitemap,html_status,articles_in_db,on_skip_list,skip_reason,top_errors
apnews_com,apnews.com,https://apnews.com/business,sitemap_then_article_extract,active,False,True,200,0,False,,AccessControlDetected:215
asia_nikkei_com,asia.nikkei.com,https://asia.nikkei.com,sitemap_then_article_extract,active,False,True,200,114,False,,NotToday:154
baochinhphu_vn,baochinhphu.vn,https://baochinhphu.vn/kinh-te.htm,rss_then_article_extract,active,True,False,200,14,False,,"NotToday:158, AccessControlDetected:49"
baodautu_vn,baodautu.vn,https://baodautu.vn,sitemap_then_article_extract,active,False,True,200,1,False,,AccessControlDetected:506
baophapluat_vn,baophapluat.vn,https://baophapluat.vn,sitemap_then_article_extract,active,False,True,200,124,False,,
baotintuc_vn,baotintuc.vn,https://baotintuc.vn/kinh-te-128ct0.htm,manual_review,review,False,False,0,0,True,profile_failed,ConnectTimeout:2
baoxaydung_vn,baoxaydung.vn,https://baoxaydung.vn,rss_then_article_extract,active,True,True,200,97,False,,NotToday:50
batdongsan_com_vn,batdongsan.com.vn,https://batdongsan.com.vn,playwright_fallback,active_candidate,False,False,403,14,False,,"AccessControlDetected:55, HttpError:39, ShortContent:3"
batdongsan_vn,batdongsan.vn,https://batdongsan.vn,sitemap_then_article_extract,active,False,True,200,5,False,,NotToday:217
bea_gov,bea.gov,https://www.bea.gov,rss_then_article_extract,active,True,True,200,0,True,blocked,FetchError:7
beincrypto_com,beincrypto.com,https://beincrypto.com/type/news/,rss_then_article_extract,active,True,False,403,13,False,,"HttpError:19, AccessControlDetected:9"
bis_org,bis.org,https://www.bis.org,sitemap_then_article_extract,active,False,True,200,0,False,,"ShortContent:228, NotToday:22"
bls_gov,bls.gov,https://www.bls.gov,rss_then_article_extract,active,True,True,200,0,False,,NotToday:5
bnews_vn,bnews.vn,https://bnews.vn,manual_review,review,False,False,0,0,True,profile_failed,ConnectError:3
boj_or_jp,boj.or.jp,https://www.boj.or.jp/en,html_then_trafilatura,active_candidate,False,False,200,38,False,,NotToday:226
cafebiz_vn,cafebiz.vn,https://cafebiz.vn,rss_then_article_extract,active,True,True,200,119,False,,"AccessControlDetected:170, NotToday:24"
cafef_vn,cafef.vn,https://cafef.vn,rss_then_article_extract,active,True,True,200,154,False,,NotToday:100
cafeland_vn,cafeland.vn,https://cafeland.vn,sitemap_then_article_extract,active,False,True,200,63,False,,NotToday:150
chinhphu_vn,chinhphu.vn,https://chinhphu.vn,html_then_trafilatura,active_candidate,False,False,200,7,False,,NotToday:30
coingecko_com,coingecko.com,https://www.coingecko.com/en/news,html_then_trafilatura,active_candidate,False,False,200,26,False,,"AccessControlDetected:156, FetchError:7"
cointelegraph_com,cointelegraph.com,https://cointelegraph.com,rss_then_article_extract,active,True,True,200,45,False,,NotToday:156
congthuong_vn,congthuong.vn,https://congthuong.vn,sitemap_then_article_extract,active,False,True,200,102,False,,
cophieu68_vn,cophieu68.vn,https://cophieu68.vn,html_then_trafilatura,active_candidate,False,False,200,33,False,,"ShortContent:130, NotToday:101"
cryptoslate_com,cryptoslate.com,https://cryptoslate.com,rss_then_article_extract,active,True,True,200,11,False,,NotToday:22
customs_gov_vn,customs.gov.vn,https://www.customs.gov.vn,playwright_fallback,active_candidate,False,False,200,0,False,,ShortContent:7
dantri_com_vn,dantri.com.vn,https://dantri.com.vn/kinh-doanh.htm,rss_then_article_extract,active,True,True,200,42,False,,"NotToday:118, AccessControlDetected:52"
decrypt_co,decrypt.co,https://decrypt.co/news,rss_then_article_extract,active,True,True,200,21,False,,"NotToday:100, AccessControlDetected:36, HttpError:1"
diaoconline_vn,diaoconline.vn,https://diaoconline.vn,manual_review,review,False,False,0,0,True,profile_failed,ConnectTimeout:2
diendandoanhnghiep_vn,diendandoanhnghiep.vn,https://diendandoanhnghiep.vn,sitemap_then_article_extract,active,False,True,200,87,False,,NotToday:50
doanhnghiephoinhap_vn,doanhnghiephoinhap.vn,https://doanhnghiephoinhap.vn,rss_then_article_extract,active,True,True,200,67,False,,NotToday:50
doanhnhansaigon_vn,doanhnhansaigon.vn,https://doanhnhansaigon.vn,sitemap_then_article_extract,active,False,True,200,75,False,,NotToday:200
ecb_europa_eu,ecb.europa.eu,https://www.ecb.europa.eu,sitemap_then_article_extract,active,False,True,200,0,False,,NotToday:250
eia_gov,eia.gov,https://www.eia.gov,sitemap_then_article_extract,active,False,True,200,0,False,,"NotToday:225, FetchError:15, HttpError:5"
enternews_vn,enternews.vn,https://enternews.vn,rss_then_article_extract,active,True,True,200,0,True,manual_skip,NotToday:60
federalreserve_gov,federalreserve.gov,https://www.federalreserve.gov,html_then_trafilatura,active_candidate,False,False,200,25,False,,NotToday:156
forexfactory_com,forexfactory.com,https://www.forexfactory.com/calendar,playwright_fallback,active_candidate,False,False,403,78,False,,"NotToday:27, AccessControlDetected:18, FetchError:11, HttpError:3"
fred_stlouisfed_org,fred.stlouisfed.org,https://fred.stlouisfed.org,html_then_trafilatura,active_candidate,False,False,200,7,False,,"FetchError:40, NotToday:26"
fxstreet_com,fxstreet.com,https://www.fxstreet.com/news,rss_then_article_extract,active,True,True,200,30,False,,AccessControlDetected:180
gold_org,gold.org,https://www.gold.org/goldhub,rss_then_article_extract,active,True,True,200,4,False,,AccessControlDetected:54
gso_gov_vn,gso.gov.vn,https://www.gso.gov.vn,manual_review,review,False,False,0,0,True,profile_failed,ConnectTimeout:2
hnx_vn,hnx.vn,https://www.hnx.vn,manual_review,review,False,False,0,0,True,profile_failed,ConnectError:3
home_treasury_gov,home.treasury.gov,https://home.treasury.gov,rss_then_article_extract,active,True,True,200,0,False,,NotToday:50
homedy_com,homedy.com,https://homedy.com,sitemap_then_article_extract,active,False,True,200,46,False,,AccessControlDetected:284
hsx_vn,hsx.vn,https://www.hsx.vn,playwright_fallback,active_candidate,False,False,200,0,False,,ShortContent:7
imf_org,imf.org,https://www.imf.org/en/countries/vnm,html_then_trafilatura,active_candidate,False,False,200,31,False,,"NotToday:165, AccessControlDetected:31, ShortContent:7"
investing_com,investing.com,https://www.investing.com/news,sitemap_then_article_extract,active,False,True,403,49,False,,"HttpError:80, AccessControlDetected:10, NotToday:10"
kinhtechungkhoan_vn,kinhtechungkhoan.vn,https://kinhtechungkhoan.vn,playwright_fallback,active_candidate,False,False,403,0,True,blocked,HttpError:8
kinhtedothi_vn,kinhtedothi.vn,https://kinhtedothi.vn,manual_review,review,False,False,0,0,True,profile_failed,ConnectTimeout:2
kitco_com,kitco.com,https://www.kitco.com/news,sitemap_then_article_extract,active,False,True,200,0,False,,NotToday:250
laodong_vn,laodong.vn,https://laodong.vn/kinh-doanh,playwright_fallback,active_candidate,False,False,200,0,False,,ShortContent:8
mard_gov_vn,mard.gov.vn,https://mard.gov.vn,manual_review,review,False,False,0,0,True,profile_failed,"ConnectError:2, ConnectTimeout:1"
markettimes_vn,markettimes.vn,https://markettimes.vn,rss_then_article_extract,active,True,False,200,95,False,,
mekongasean_vn,mekongasean.vn,https://mekongasean.vn,rss_then_article_extract,active,True,False,200,42,False,,NotToday:10
mof_gov_vn,mof.gov.vn,https://www.mof.gov.vn,playwright_fallback,active_candidate,False,False,200,0,False,,ShortContent:7
mogi_vn,mogi.vn,https://mogi.vn/news,rss_then_article_extract,active,True,True,200,45,False,,"NotToday:105, HttpError:2"
moit_gov_vn,moit.gov.vn,https://www.moit.gov.vn,html_then_trafilatura,active_candidate,False,False,200,29,False,,NotToday:182
monre_gov_vn,monre.gov.vn,https://monre.gov.vn,manual_review,review,False,False,0,0,True,profile_failed,ConnectError:3
mpi_gov_vn,mpi.gov.vn,https://www.mpi.gov.vn/portal/Pages/default.aspx,manual_review,review,False,False,0,0,True,profile_failed,ConnectError:3
nguoiquansat_vn,nguoiquansat.vn,https://nguoiquansat.vn,playwright_fallback,active_candidate,False,False,403,0,True,blocked,HttpError:8
nhadatvui_vn,nhadatvui.vn,https://nhadatvui.vn,sitemap_then_article_extract,active,False,True,200,0,False,,
nhadautu_vn,nhadautu.vn,https://nhadautu.vn,rss_then_article_extract,active,True,True,200,14,False,,"NotToday:158, AccessControlDetected:128"
nhandan_vn,nhandan.vn,https://nhandan.vn/kinh-te,rss_then_article_extract,active,True,True,200,37,False,,NotToday:290
oilprice_com,oilprice.com,https://oilprice.com,rss_then_article_extract,active,True,True,200,43,False,,"AccessControlDetected:15, NotToday:12"
plo_vn,plo.vn,https://plo.vn/kinh-te,sitemap_then_article_extract,active,False,True,404,52,False,,NotToday:197
qdnd_vn,qdnd.vn,https://www.qdnd.vn/kinh-te,sitemap_then_article_extract,active,False,True,200,0,False,,
reatimes_vn,reatimes.vn,https://reatimes.vn,rss_then_article_extract,active,True,True,200,33,False,,"AccessControlDetected:20, NotToday:17"
reuters_com,reuters.com,https://www.reuters.com/markets/,sitemap_then_article_extract,active,False,True,403,0,True,blocked,FetchError:260
sbv_gov_vn,sbv.gov.vn,https://www.sbv.gov.vn/vi/trang-chu,sitemap_then_article_extract,active,False,True,200,3,False,,"NotToday:149, HttpError:2, FetchError:1"
